Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Limited Main Quota Duration (Hari),Limited Application Quota Duration (Hari),Unlimited Application Quota (GB),Unlimited Application Quota Duration (Hari),Total Anggota,ProductName
Ketengan TikTok 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan Whatsapp 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan Twitter 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan YouTube 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Instagram 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Facebook 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan TikTok 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Whatsapp 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Twitter 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Paket Sehat 2GB,45.0,30.0,1.5,,0.5,Telkomsel,Pembelian Obat,,,,,,
Paket Data Zoom Berlangganan,130.0,30.0,,,15.0,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,15.0,1.0,,,0.5,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,25.0,3.0,,,1.5,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,50.0,7.0,,,4.0,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,130.0,30.0,,,15.0,Telkomsel,Zoom Pro,,,,,,
InternetMAX Lite 3 GB,25.0,30.0,2.5,,0.5,Telkomsel,,,,,,,
InternetMAX 4 GB Prime,30.0,30.0,3.0,,1.0,Telkomsel,,,,,,,
InternetMAX 7 GB,30.0,30.0,5.0,,2.0,Telkomsel,,,,,,,
InternetMAX 11 GB,42.0,30.0,8.0,,3.0,Telkomsel,,,,,,,
InternetMAX 18 GB,66.0,30.0,10.0,,8.0,Telkomsel,,,,,,,
InternetMAX 35 GB,83.0,30.0,25.0,,10.0,Telkomsel,,,,,,,
InternetMAX 51 GB,115.0,30.0,38.0,,13.0,Telkomsel,,,,,,,
InternetMAX 70 GB,138.0,30.0,55.0,,15.0,Telkomsel,,,,,,,
Paket ComboFit 1GB,20.0,30.0,1.0,,,Telkomsel,Fita Exercise Plan,,,,,,
Paket ComboFit 3GB,44.0,30.0,1.0,,2.0,Telkomsel,Allianz,,,,,,
Paket ComboFit 3.5GB,55.0,30.0,1.5,,2.0,Telkomsel,Allianz,,,,,,
Unlimited Play Silver Mobile Legends,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Free Fire,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver AoV,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Shellfire,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Rise of Nowlins,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Google Play,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Gold Mobile Legends,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Free Fire,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold AoV,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Shellfire,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Rise of Nowlins,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Google Play,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Diamond Mobile Legends,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond Free Fire,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond AoV,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond Shellfire,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond RoN,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond Google Play,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
MusicMAX Smule VIP,25.0,30.0,1.25,,5.25,Telkomsel,,,,,,,
MusicMAX,25.0,30.0,1.5,,5.0,Telkomsel,NSP,,,,,,
MusicMAX JOOX VIP,32.0,30.0,1.0,,2.0,Telkomsel,,,,,,,
MusicMAX Smule,25.0,30.0,1.5,,5.0,Telkomsel,Smule,,,,,,
MusicMAX Ketengan,15.0,30.0,,,5.0,Telkomsel,,,,,,,
MAXstream 6GB,15.0,7.0,,,6.0,Telkomsel,Langganan Premium Video,,,,,,
GIGAMAX FIT,25.0,30.0,1.0,,5.0,Telkomsel,Langganan Premium Video,,,,,,
GALA,71.0,30.0,2.0,,7.0,Telkomsel,Langganan Premium Video,,,,,,
CATCHPLAY+ 7 Hari,16.0,7.0,,,1.0,Telkomsel,Movie Lovers Basic,,,,,,
CATCHPLAY+ 30 Hari,50.0,30.0,,,3.0,Telkomsel,Movie Lovers Basic,,,,,,
CATCHPLAY+ 90 Hari,100.0,90.0,,,9.0,Telkomsel,Movie Lovers Basic,,,,,,
Lionsgate Play 30 Hari,16.0,30.0,,,2.0,Telkomsel,Lionsgate Play,,,,,,
KlikFilm 3 Hari,7.0,3.0,,,0.5,Telkomsel,,,,,,,
KlikFilm 7 Hari,13.0,7.0,,,1.0,Telkomsel,,,,,,,
KlikFilm 30 Hari,21.0,30.0,,,1.5,Telkomsel,,,,,,,
Vision+,11.0,7.0,,,1.0,Telkomsel,Vision+,,,,,,
Vision+,31.0,30.0,,,2.0,Telkomsel,Vision+,,,,,,
Vision+,81.0,90.0,,,6.0,Telkomsel,Vision+,,,,,,
Vision+,202.0,360.0,,,24.0,Telkomsel,Vision+,,,,,,
Prime Video Mobile,8.0,7.0,,,1.0,Telkomsel,Prime Video Mobile,,,,,,
Prime Video Mobile,21.0,30.0,,,2.5,Telkomsel,Prime Video Mobile,,,,,,
Prime Video,16.0,7.0,,,2.0,Telkomsel,Prime Video,,,,,,
Prime Video,45.0,30.0,,,5.0,Telkomsel,Prime Video,,,,,,
WeTV,12.0,7.0,,,1.0,Telkomsel,WeTV,,,,,,
WeTV,410.0,1.0,,,24.0,Telkomsel,WeTV,,,,,,
Viu,14.0,7.0,,,2.0,Telkomsel,Viu,,,,,,
Viu,39.0,30.0,,,3.5,Telkomsel,Viu,,,,,,
Viu,55.0,30.0,,,7.0,Telkomsel,Viu,,,,,,
Viu,100.0,90.0,,,10.0,Telkomsel,Viu,,,,,,
Viu,156.0,180.0,,,15.0,Telkomsel,Viu,,,,,,
Zee Bahasa,26.0,30.0,,,2.0,Telkomsel,,,,,,,
Zee All Access,36.0,30.0,,,2.5,Telkomsel,,,,,,,
GIGAMAX BASIC,52.0,30.0,3.0,,12.0,Telkomsel,Langganan Video,,,,,,
GIGAMAX LITE,105.0,30.0,7.0,,28.0,Telkomsel,Langganan Video,,,,,,
GIGAMAX PRO,155.0,30.0,15.0,,40.0,Telkomsel,Langganan Video,,,,,,
GALA,71.0,30.0,2.0,,7.0,Telkomsel,Langganan Video,,,,,,
GALA,101.0,30.0,4.0,,20.0,Telkomsel,Langganan Video,,,,,,
GALA,155.0,30.0,10.0,,30.0,Telkomsel,Langganan Video,,,,,,
Disney+ Hotstar,39.0,30.0,,,2.0,Telkomsel,Disney+ Hotstar,,,,,,
Vidio Platinum,15.0,7.0,,,2.0,Telkomsel,Vidio Platinum,,,,,,
Vidio Diamond,80.0,30.0,4.0,,3.0,Telkomsel,Vidio Platinum Mobile,,,,,,
Vidio Platinum Mobile,10.0,7.0,,,1.0,Telkomsel,Vidio Platinum,,,,,,
Happy 130GB 30 hari,150.0,30.0,130.0,,,Tri,,30.0,,,,,
Happy 52GB UL 30 Hari..,80.0,30.0,22.0,,30.0,Tri,,30.0,30.0,5.0,5.0,,
Hot Sale 100GB 24 Jam.,140.0,30.0,100.0,,,Tri,,30.0,,5.0,5.0,,
Hot Sale 117GB 24 Jam,125.0,30.0,117.0,,,Tri,,30.0,,,,,
Hot Sale 50GB 24 Jam,100.0,30.0,50.0,,,Tri,,30.0,,5.0,5.0,,
Hot Sale 30GB 24 Jam,70.0,30.0,30.0,,,Tri,,30.0,,5.0,5.0,,
Hot Sale 13GB 24 Jam,50.0,30.0,13.0,,,Tri,,30.0,,5.0,5.0,,
Hot Sale 30GB 7hr,20.0,7.0,30.0,,,Tri,,7.0,,,,,
AON Unlimited 26GB..,80.0,365.0,26.0,,,Tri,,365.0,,,,,
Home 150GB.,160.0,30.0,150.0,,,Tri,,30.0,,,,,
Home 120GB.,130.0,30.0,120.0,,,Tri,,30.0,,,,,
Home 117GB..,125.0,30.0,117.0,,,Tri,,30.0,,,,,
Home 100GB.,100.0,7.0,100.0,,,Tri,,7.0,,,,,
Home 38GB.,90.0,30.0,31.0,,,Tri,,30.0,,,,,
Home 32GB.,80.0,30.0,19.0,,,Tri,,30.0,,,,,
Rp 25.000,25.0,,,,,Tri,,,,,,,
Rp 10.000,10.0,,,,,Tri,,,,,,,
130GB 30 Hari,150.0,30.0,130.0,,,Tri,,30.0,,,,,
100GB 30 Hari.,140.0,30.0,100.0,,,Tri,,30.0,,5.0,5.0,,
50GB 30 Hari,100.0,30.0,50.0,,,Tri,,30.0,,5.0,5.0,,
